# name module config scenario fault specification expected
reference-incomplete MC_incomplete MC_incomplete - - - temporal:PushTerminates
reader-trim MCTrim MCTrim - none - pass
bug-reader-trim MCTrim MCTrim - reader - ReadCompletable
witness-historical-trim MCTrim MCTrim - none - NoHistoricalTrim
publication-view-fixed PublicationView PublicationView_fix - - - pass
publication-view-bug PublicationView PublicationView_bug - - - NoLostUpdate
snapshot SnapshotAuthority SnapshotAuthority - none Spec pass
bug-snapshot-guess SnapshotAuthority SnapshotAuthority - guess Spec SnapshotAuthority
bug-snapshot-splice SnapshotAuthority SnapshotAuthority - splice Spec SnapshotAuthority
bug-snapshot-cache SnapshotAuthority SnapshotAuthority - cache Spec ReadFresh
witness-snapshot-crossed SnapshotAuthority SnapshotAuthority - none Spec NoCrossedRead
witness-snapshot-orphan SnapshotAuthority SnapshotAuthority - none Spec NoOrphanRaceRead
coverage PackCoverage PackCoverage - none Spec pass
bug-coverage-retire PackCoverage PackCoverage - retire Spec BindingSound
bug-coverage-scope PackCoverage PackCoverage - scope Spec BindingSound
bug-coverage-policy PackCoverage PackCoverage - policy Spec OfferScoped
bug-coverage-dependency PackCoverage PackCoverage - dependency Spec CompleteFetch
bug-coverage-generation PackCoverage PackCoverage - generation Spec CompleteFetch
bug-coverage-companion PackCoverage PackCoverage - companion Spec CompleteFetch
witness-coverage-retry PackCoverage PackCoverage - none Spec NoRetryBind
witness-coverage-old-tip PackCoverage PackCoverage - none Spec NoOldTipOffer
witness-coverage-new-tip PackCoverage PackCoverage - none Spec NoCompleteNewOffer
witness-coverage-concurrent PackCoverage PackCoverage - none Spec NoConcurrentOffer
replacement-conserve PackReplacement PackReplacement healthy-conserve none Spec pass
replacement-broken PackReplacement PackReplacement broken-conserve none Spec pass
replacement-prune PackReplacement PackReplacement healthy-prune none Spec pass
replacement-prune-broken PackReplacement PackReplacement broken-prune none Spec pass
bug-replacement-raw PackReplacement PackReplacement broken-conserve raw Spec AdmissionSound
bug-replacement-conserve PackReplacement PackReplacement healthy-conserve conserve Spec Conserves
bug-replacement-overwrite PackReplacement PackReplacement healthy-conserve replace Spec Servable
bug-replacement-supersedes PackReplacement PackReplacement healthy-conserve supersedes Spec Servable
witness-replacement-seal PackReplacement PackReplacement healthy-conserve none Spec NoSeal
witness-replacement-refuse PackReplacement PackReplacement broken-conserve none Spec NoRejectedInput
witness-replacement-prune PackReplacement PackReplacement broken-prune none Spec NoSeal
witness-replacement-race PackReplacement PackReplacement healthy-conserve none Spec NoRacingSeal
witness-replacement-retry PackReplacement PackReplacement healthy-conserve none Spec NoRetrySeal
closure-provenance-fixed ClosureProvenance ClosureProvenance_fix - - - pass
closure-provenance-bug ClosureProvenance ClosureProvenance_bug - - - ServableClosure
closure-provenance-stale-guard ClosureProvenance ClosureProvenance_stale - - - ServableClosure
closure-provenance-stale-seal ClosureProvenance ClosureProvenance_stale_seal - - - ServableClosure
closure-provenance-stale-retry ClosureProvenance ClosureProvenance_stale_retry - - - ServableClosure
closure-provenance-no-tip-guard ClosureProvenance ClosureProvenance_no_tip - - - ServableClosure
witness-closure-refusal ClosureProvenance ClosureProvenance_fix - - - NoRefusal
witness-closure-commit ClosureProvenance ClosureProvenance_fix - - - NoCommit
witness-closure-retry-commit ClosureProvenance ClosureProvenance_fix - - - NoRetryCommit
witness-closure-replan ClosureProvenance ClosureProvenance_fix - - - NoReplan
closure-provenance-rival ClosureProvenance ClosureProvenance_rival - - - pass
witness-closure-undercut ClosureProvenance ClosureProvenance_rival - - - NoUndercut
front-replay-fixed FrontReplay FrontReplay_fix - - - pass
front-replay-on-ambiguous FrontReplay FrontReplay_replay_ambiguous - - - NoLaunderedRejection
front-replay-connect-signal-lies FrontReplay FrontReplay_connect_lies - - - NoLaunderedRejection
front-replay-no-precondition FrontReplay FrontReplay_no_precondition - - - AtMostOnce
front-replay-noop-publishes FrontReplay FrontReplay_noop_publishes - - - AtMostOneEntry
witness-front-replay-fallback FrontReplay FrontReplay_fix - - - NoFallbackApply
witness-front-replay-recovery FrontReplay FrontReplay_fix - - - NoAmbiguousRecovery
witness-front-replay-duplicate FrontReplay FrontReplay_fix - - - NoDuplicateRejected
witness-front-replay-confusion FrontReplay FrontReplay_fix - - - NoHonestConfusion
witness-front-replay-quiet-noop FrontReplay FrontReplay_fix - - - NoQuietNoOp
checkpoint-fixed WALCheckpoint WALCheckpoint_fix - - - pass
checkpoint-bug WALCheckpoint WALCheckpoint_bug - - - SegAtMin
batch-race BatchPublication BatchPublication race none Spec pass
batch-denied BatchPublication BatchPublication denied none Spec pass
batch-missing BatchPublication BatchPublication missing none Spec pass
batch-policy BatchPublication BatchPublication policy none Spec pass
batch-dependent BatchPublication BatchPublication dependent none Spec pass
batch-delete BatchPublication BatchPublication delete none Spec pass
batch-noop BatchPublication BatchPublication noop none Spec pass
batch-rejected-noop BatchPublication BatchPublication rejectednoop none Spec pass
live-race BatchPublication BatchPublication race none LiveSpec pass
live-denied BatchPublication BatchPublication denied none LiveSpec pass
live-missing BatchPublication BatchPublication missing none LiveSpec pass
live-policy BatchPublication BatchPublication policy none LiveSpec pass
live-dependent BatchPublication BatchPublication dependent none LiveSpec pass
live-delete BatchPublication BatchPublication delete none LiveSpec pass
live-noop BatchPublication BatchPublication noop none LiveSpec pass
live-rejected-noop BatchPublication BatchPublication rejectednoop none LiveSpec pass
healthy-race BatchPublication BatchPublication race none HealthySpec pass
healthy-denied BatchPublication BatchPublication denied none HealthySpec pass
healthy-missing BatchPublication BatchPublication missing none HealthySpec pass
healthy-policy BatchPublication BatchPublication policy none HealthySpec pass
healthy-dependent BatchPublication BatchPublication dependent none HealthySpec pass
healthy-delete BatchPublication BatchPublication delete none HealthySpec pass
healthy-noop BatchPublication BatchPublication noop none HealthySpec pass
healthy-rejected-noop BatchPublication BatchPublication rejectednoop none HealthySpec pass
bug-retry BatchPublication BatchPublication race retry Spec CommitPreconditions
bug-partial BatchPublication BatchPublication denied partial Spec SubmissionAtomic
bug-policy BatchPublication BatchPublication policy policy Spec DecisionIsolation
bug-isolation BatchPublication BatchPublication denied isolation Spec DecisionIsolation
bug-early-ack BatchPublication BatchPublication race earlyack Spec ReportsTruthful
bug-phantom-ok BatchPublication BatchPublication denied phantom Spec ReportsTruthful
bug-absence BatchPublication BatchPublication race absence Spec ReportsTruthful
bug-noop-phantom BatchPublication BatchPublication noop noopphantom Spec NoopReceiptTruthful
bug-unfair BatchPublication BatchPublication race none Spec temporal:Terminates
witness-retry BatchPublication BatchPublication dependent none Spec NoRetryCommit
witness-late BatchPublication BatchPublication race none Spec NoLateCommit
witness-folded BatchPublication BatchPublication race none Spec NoFoldedUnknown
witness-atomic BatchPublication BatchPublication race none Spec NoAtomicCommit
witness-noop-ride BatchPublication BatchPublication noop none Spec NoNoopRide
witness-noop-quiet BatchPublication BatchPublication noop none Spec NoQuietBatchNoop
witness-noop-rejected BatchPublication BatchPublication rejectednoop none Spec NoRejectedNoopSettle
witness-isolation BatchPublication BatchPublication denied none Spec NoIsolatedCommit
witness-dependent BatchPublication BatchPublication dependent none Spec NoDependentCommit
witness-delete BatchPublication BatchPublication delete none Spec NoDependentCommit
log-slot-fixed LogSlotClaim LogSlotClaim_fix - - - pass
log-slot-burned-across-retry LogSlotClaim LogSlotClaim_burned_retry - - - CommittedSegmentsPresent
log-slot-early-sweep LogSlotClaim LogSlotClaim_early_sweep - - - CommittedSegmentsPresent
